
 ****** Running generation 0 ****** 

Population's average fitness: -82.61125 stdev: 42.30741
Best fitness: 37.00000 - size: (5, 19) - species 161 - id 161
Average adjusted fitness: 0.484
Mean genetic distance 3.310, standard deviation 0.164
Population of 800 members in 400 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2    -32.0    0.703     0
     2    0     2    -96.5    0.425     0
     3    0     2    -28.5    0.718     0
     4    0     2   -118.0    0.332     0
     5    0     2    -67.5    0.550     0
     6    0     2    -64.5    0.562     0
     7    0     2    -34.5    0.692     0
     8    0     2    -73.0    0.526     0
     9    0     2   -110.0    0.366     0
    10    0     2    -75.0    0.517     0
    11    0     2    -58.5    0.588     0
    12    0     2    -80.5    0.494     0
    13    0     2    -95.0    0.431     0
    14    0     2   -124.5    0.304     0
    15    0     2   -104.5    0.390     0
    16    0     2    -96.0    0.427     0
    17    0     2     26.5    0.955     0
    18    0     2   -110.5    0.364     0
    19    0     2   -139.0    0.241     0
    20    0     2    -25.0    0.733     0
    21    0     2    -89.5    0.455     0
    22    0     2    -34.5    0.692     0
    23    0     2    -94.5    0.433     0
    24    0     2    -74.5    0.519     0
    25    0     2   -104.5    0.390     0
    26    0     2    -63.0    0.569     0
    27    0     2    -92.5    0.442     0
    28    0     2   -127.5    0.291     0
    29    0     2    -82.0    0.487     0
    30    0     2    -21.0    0.750     0
    31    0     2   -107.0    0.379     0
    32    0     2   -102.5    0.399     0
    33    0     2    -64.5    0.562     0
    34    0     2    -60.0    0.582     0
    35    0     2   -145.0    0.216     0
    36    0     2    -74.0    0.522     0
    37    0     2    -31.5    0.705     0
    38    0     2   -139.0    0.241     0
    39    0     2    -77.0    0.509     0
    40    0     2    -78.0    0.504     0
    41    0     2     -7.5    0.808     0
    42    0     2    -68.0    0.547     0
    43    0     2    -59.0    0.586     0
    44    0     2    -16.0    0.772     0
    45    0     2    -85.5    0.472     0
    46    0     2    -10.5    0.795     0
    47    0     2     -9.0    0.802     0
    48    0     2   -132.0    0.272     0
    49    0     2   -195.0    0.000     0
    50    0     2   -175.5    0.084     0
    51    0     2   -127.0    0.293     0
    52    0     2    -52.0    0.616     0
    53    0     2    -72.5    0.528     0
    54    0     2    -31.0    0.707     0
    55    0     2   -133.5    0.265     0
    56    0     2    -19.5    0.756     0
    57    0     2    -50.5    0.623     0
    58    0     2    -44.5    0.649     0
    59    0     2    -38.0    0.677     0
    60    0     2    -66.5    0.554     0
    61    0     2   -117.0    0.336     0
    62    0     2    -12.0    0.789     0
    63    0     2    -28.5    0.718     0
    64    0     2   -118.0    0.332     0
    65    0     2    -48.5    0.631     0
    66    0     2    -42.0    0.659     0
    67    0     2   -114.0    0.349     0
    68    0     2    -28.0    0.720     0
    69    0     2    -77.5    0.506     0
    70    0     2    -14.0    0.780     0
    71    0     2   -160.5    0.149     0
    72    0     2    -51.5    0.619     0
    73    0     2   -143.5    0.222     0
    74    0     2    -21.5    0.748     0
    75    0     2    -89.0    0.457     0
    76    0     2    -35.0    0.690     0
    77    0     2    -36.0    0.685     0
    78    0     2    -69.5    0.541     0
    79    0     2    -82.0    0.487     0
    80    0     2   -101.5    0.403     0
    81    0     2   -130.5    0.278     0
    82    0     2   -119.5    0.325     0
    83    0     2    -71.5    0.532     0
    84    0     2   -150.5    0.192     0
    85    0     2    -73.0    0.526     0
    86    0     2   -120.0    0.323     0
    87    0     2   -101.0    0.405     0
    88    0     2     32.5    0.981     0
    89    0     2    -74.5    0.519     0
    90    0     2    -69.5    0.541     0
    91    0     2    -97.0    0.422     0
    92    0     2     21.5    0.933     0
    93    0     2   -102.0    0.401     0
    94    0     2    -61.5    0.575     0
    95    0     2    -72.0    0.530     0
    96    0     2    -42.5    0.657     0
    97    0     2    -69.0    0.543     0
    98    0     2   -117.5    0.334     0
    99    0     2    -63.0    0.569     0
   100    0     2   -122.0    0.315     0
   101    0     2   -112.0    0.358     0
   102    0     2   -187.5    0.032     0
   103    0     2    -40.0    0.668     0
   104    0     2    -57.5    0.593     0
   105    0     2   -114.5    0.347     0
   106    0     2    -55.0    0.603     0
   107    0     2    -50.5    0.623     0
   108    0     2   -119.0    0.328     0
   109    0     2    -70.5    0.537     0
   110    0     2   -129.5    0.282     0
   111    0     2    -61.0    0.578     0
   112    0     2    -73.0    0.526     0
   113    0     2   -152.0    0.185     0
   114    0     2    -63.5    0.567     0
   115    0     2   -104.5    0.390     0
   116    0     2    -57.0    0.595     0
   117    0     2    -54.5    0.606     0
   118    0     2    -69.5    0.541     0
   119    0     2    -78.0    0.504     0
   120    0     2    -74.0    0.522     0
   121    0     2   -119.5    0.325     0
   122    0     2    -80.5    0.494     0
   123    0     2    -68.5    0.545     0
   124    0     2    -77.5    0.506     0
   125    0     2   -148.0    0.203     0
   126    0     2    -36.0    0.685     0
   127    0     2    -60.5    0.580     0
   128    0     2   -125.0    0.302     0
   129    0     2    -85.5    0.472     0
   130    0     2   -101.5    0.403     0
   131    0     2    -70.5    0.537     0
   132    0     2    -68.5    0.545     0
   133    0     2    -28.0    0.720     0
   134    0     2   -128.5    0.287     0
   135    0     2    -78.5    0.502     0
   136    0     2    -90.5    0.450     0
   137    0     2    -88.5    0.459     0
   138    0     2    -27.0    0.724     0
   139    0     2    -84.5    0.476     0
   140    0     2    -76.0    0.513     0
   141    0     2    -75.5    0.515     0
   142    0     2    -79.5    0.498     0
   143    0     2    -66.0    0.556     0
   144    0     2   -140.0    0.237     0
   145    0     2    -65.0    0.560     0
   146    0     2    -45.5    0.644     0
   147    0     2    -56.5    0.597     0
   148    0     2   -142.0    0.228     0
   149    0     2   -122.0    0.315     0
   150    0     2   -157.5    0.162     0
   151    0     2   -120.5    0.321     0
   152    0     2   -130.0    0.280     0
   153    0     2    -50.0    0.625     0
   154    0     2    -66.5    0.554     0
   155    0     2    -20.5    0.752     0
   156    0     2    -75.5    0.515     0
   157    0     2    -50.5    0.623     0
   158    0     2    -38.5    0.675     0
   159    0     2   -134.0    0.263     0
   160    0     2     25.0    0.948     0
   161    0     2     37.0    1.000     0
   162    0     2   -130.0    0.280     0
   163    0     2    -79.0    0.500     0
   164    0     2   -142.5    0.226     0
   165    0     2    -78.0    0.504     0
   166    0     2    -95.5    0.429     0
   167    0     2    -72.5    0.528     0
   168    0     2   -154.0    0.177     0
   169    0     2   -121.0    0.319     0
   170    0     2   -103.0    0.397     0
   171    0     2    -63.0    0.569     0
   172    0     2    -89.0    0.457     0
   173    0     2    -67.0    0.552     0
   174    0     2    -42.0    0.659     0
   175    0     2   -112.0    0.358     0
   176    0     2    -59.5    0.584     0
   177    0     2    -58.0    0.591     0
   178    0     2    -97.5    0.420     0
   179    0     2    -75.0    0.517     0
   180    0     2    -18.0    0.763     0
   181    0     2   -187.5    0.032     0
   182    0     2    -67.5    0.550     0
   183    0     2    -84.5    0.476     0
   184    0     2   -106.5    0.381     0
   185    0     2    -66.0    0.556     0
   186    0     2    -57.5    0.593     0
   187    0     2   -103.0    0.397     0
   188    0     2   -123.0    0.310     0
   189    0     2    -66.0    0.556     0
   190    0     2    -61.0    0.578     0
   191    0     2    -91.0    0.448     0
   192    0     2   -116.5    0.338     0
   193    0     2    -86.5    0.468     0
   194    0     2    -18.0    0.763     0
   195    0     2    -88.0    0.461     0
   196    0     2    -73.0    0.526     0
   197    0     2   -122.5    0.312     0
   198    0     2    -66.5    0.554     0
   199    0     2   -140.5    0.235     0
   200    0     2    -75.0    0.517     0
   201    0     2    -93.5    0.438     0
   202    0     2   -123.0    0.310     0
   203    0     2    -73.5    0.524     0
   204    0     2   -105.0    0.388     0
   205    0     2    -23.0    0.741     0
   206    0     2    -69.0    0.543     0
   207    0     2    -66.0    0.556     0
   208    0     2    -57.5    0.593     0
   209    0     2   -104.0    0.392     0
   210    0     2   -142.0    0.228     0
   211    0     2   -104.5    0.390     0
   212    0     2    -27.5    0.722     0
   213    0     2   -131.0    0.276     0
   214    0     2    -84.5    0.476     0
   215    0     2   -151.0    0.190     0
   216    0     2   -167.0    0.121     0
   217    0     2    -58.5    0.588     0
   218    0     2    -77.5    0.506     0
   219    0     2   -111.5    0.360     0
   220    0     2     17.0    0.914     0
   221    0     2   -144.5    0.218     0
   222    0     2    -83.0    0.483     0
   223    0     2   -132.0    0.272     0
   224    0     2    -60.0    0.582     0
   225    0     2    -46.5    0.640     0
   226    0     2    -19.5    0.756     0
   227    0     2   -145.0    0.216     0
   228    0     2    -76.0    0.513     0
   229    0     2    -22.0    0.746     0
   230    0     2    -90.5    0.450     0
   231    0     2    -97.0    0.422     0
   232    0     2    -94.5    0.433     0
   233    0     2    -88.5    0.459     0
   234    0     2   -138.0    0.246     0
   235    0     2   -131.0    0.276     0
   236    0     2   -147.0    0.207     0
   237    0     2    -23.5    0.739     0
   238    0     2    -12.5    0.787     0
   239    0     2    -94.0    0.435     0
   240    0     2   -154.0    0.177     0
   241    0     2    -97.0    0.422     0
   242    0     2   -150.5    0.192     0
   243    0     2   -139.5    0.239     0
   244    0     2   -117.0    0.336     0
   245    0     2   -106.0    0.384     0
   246    0     2   -152.0    0.185     0
   247    0     2    -46.0    0.642     0
   248    0     2   -128.5    0.287     0
   249    0     2    -72.0    0.530     0
   250    0     2    -56.0    0.599     0
   251    0     2   -131.0    0.276     0
   252    0     2   -135.0    0.259     0
   253    0     2    -98.0    0.418     0
   254    0     2   -155.5    0.170     0
   255    0     2    -57.5    0.593     0
   256    0     2    -92.5    0.442     0
   257    0     2    -70.5    0.537     0
   258    0     2    -85.5    0.472     0
   259    0     2    -92.0    0.444     0
   260    0     2   -158.5    0.157     0
   261    0     2   -106.5    0.381     0
   262    0     2   -134.5    0.261     0
   263    0     2    -51.5    0.619     0
   264    0     2    -20.0    0.754     0
   265    0     2      8.5    0.877     0
   266    0     2   -110.0    0.366     0
   267    0     2    -44.5    0.649     0
   268    0     2    -21.5    0.748     0
   269    0     2   -176.5    0.080     0
   270    0     2    -84.5    0.476     0
   271    0     2   -152.0    0.185     0
   272    0     2    -73.0    0.526     0
   273    0     2    -61.0    0.578     0
   274    0     2    -64.5    0.562     0
   275    0     2    -79.5    0.498     0
   276    0     2    -58.0    0.591     0
   277    0     2     10.5    0.886     0
   278    0     2   -103.5    0.394     0
   279    0     2    -45.5    0.644     0
   280    0     2   -164.0    0.134     0
   281    0     2    -87.0    0.466     0
   282    0     2    -67.5    0.550     0
   283    0     2   -115.0    0.345     0
   284    0     2    -97.0    0.422     0
   285    0     2   -134.5    0.261     0
   286    0     2   -119.5    0.325     0
   287    0     2    -59.0    0.586     0
   288    0     2   -124.5    0.304     0
   289    0     2    -98.5    0.416     0
   290    0     2     36.0    0.996     0
   291    0     2   -149.5    0.196     0
   292    0     2    -83.0    0.483     0
   293    0     2    -52.0    0.616     0
   294    0     2   -119.5    0.325     0
   295    0     2    -19.0    0.759     0
   296    0     2    -94.5    0.433     0
   297    0     2    -87.5    0.463     0
   298    0     2    -44.0    0.651     0
   299    0     2   -117.0    0.336     0
   300    0     2    -51.5    0.619     0
   301    0     2   -169.0    0.112     0
   302    0     2    -86.0    0.470     0
   303    0     2   -121.0    0.319     0
   304    0     2    -70.0    0.539     0
   305    0     2    -17.0    0.767     0
   306    0     2   -113.0    0.353     0
   307    0     2    -21.5    0.748     0
   308    0     2    -64.0    0.565     0
   309    0     2    -71.5    0.532     0
   310    0     2   -122.0    0.315     0
   311    0     2    -44.0    0.651     0
   312    0     2    -59.0    0.586     0
   313    0     2    -38.0    0.677     0
   314    0     2   -107.5    0.377     0
   315    0     2    -85.5    0.472     0
   316    0     2    -91.0    0.448     0
   317    0     2    -58.0    0.591     0
   318    0     2   -110.5    0.364     0
   319    0     2    -68.5    0.545     0
   320    0     2    -63.5    0.567     0
   321    0     2    -82.5    0.485     0
   322    0     2   -107.0    0.379     0
   323    0     2   -156.0    0.168     0
   324    0     2    -67.0    0.552     0
   325    0     2    -95.5    0.429     0
   326    0     2   -122.5    0.312     0
   327    0     2    -73.0    0.526     0
   328    0     2    -92.0    0.444     0
   329    0     2    -98.5    0.416     0
   330    0     2    -42.0    0.659     0
   331    0     2    -70.0    0.539     0
   332    0     2    -72.0    0.530     0
   333    0     2    -23.0    0.741     0
   334    0     2    -79.0    0.500     0
   335    0     2    -89.0    0.457     0
   336    0     2    -51.5    0.619     0
   337    0     2    -71.5    0.532     0
   338    0     2    -81.0    0.491     0
   339    0     2   -145.0    0.216     0
   340    0     2      0.5    0.843     0
   341    0     2    -69.0    0.543     0
   342    0     2   -104.5    0.390     0
   343    0     2   -102.5    0.399     0
   344    0     2    -45.5    0.644     0
   345    0     2    -28.5    0.718     0
   346    0     2   -105.0    0.388     0
   347    0     2    -16.0    0.772     0
   348    0     2    -95.5    0.429     0
   349    0     2    -58.5    0.588     0
   350    0     2      9.5    0.881     0
   351    0     2   -124.5    0.304     0
   352    0     2    -45.0    0.647     0
   353    0     2   -163.5    0.136     0
   354    0     2    -78.5    0.502     0
   355    0     2   -133.5    0.265     0
   356    0     2    -93.5    0.438     0
   357    0     2   -131.0    0.276     0
   358    0     2   -133.0    0.267     0
   359    0     2    -68.0    0.547     0
   360    0     2    -94.5    0.433     0
   361    0     2     -2.5    0.830     0
   362    0     2   -108.0    0.375     0
   363    0     2    -21.5    0.748     0
   364    0     2    -54.5    0.606     0
   365    0     2   -123.0    0.310     0
   366    0     2   -149.5    0.196     0
   367    0     2    -93.5    0.438     0
