
 ****** Running generation 0 ****** 

Population's average fitness: 21.84875 stdev: 3.60914
Best fitness: 34.00000 - size: (6, 26) - species 12 - id 125
Average adjusted fitness: 0.535
Mean genetic distance 3.156, standard deviation 0.234
Population of 799 members in 125 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0    13     30.0    0.519     0
     2    0     9     30.0    0.527     0
     3    0    15     33.0    0.527     0
     4    0    15     30.0    0.527     0
     5    0    17     34.0    0.530     0
     6    0     9     28.0    0.536     0
     7    0    14     28.0    0.550     0
     8    0     6     32.0    0.586     0
     9    0    17     27.0    0.516     0
    10    0     7     27.0    0.516     0
    11    0     5     28.0    0.488     0
    12    0    14     34.0    0.606     0
    13    0    10     25.0    0.506     0
    14    0    23     27.0    0.628     0
    15    0    24     33.0    0.615     0
    16    0    15     30.0    0.553     0
    17    0    14     25.0    0.477     0
    18    0     6     25.0    0.596     0
    19    0     6     22.0    0.397     0
    20    0    15     27.0    0.504     0
    21    0    10       --       --     0
    22    0    12       --       --     0
    23    0     9       --       --     0
    24    0     5       --       --     0
    25    0     1       --       --     0
    26    0     9       --       --     0
    27    0    19       --       --     0
    28    0     9       --       --     0
    29    0    14       --       --     0
    30    0     8       --       --     0
    31    0     2       --       --     0
    32    0     2       --       --     0
    33    0    21       --       --     0
    34    0     6       --       --     0
    35    0    20       --       --     0
    36    0     3       --       --     0
    37    0     2       --       --     0
    38    0    12       --       --     0
    39    0     6       --       --     0
    40    0     8       --       --     0
    41    0     6       --       --     0
    42    0     5       --       --     0
    43    0     4       --       --     0
    44    0     5       --       --     0
    45    0     9       --       --     0
    46    0     3       --       --     0
    47    0     9       --       --     0
    48    0     9       --       --     0
    49    0    18       --       --     0
    50    0     4       --       --     0
    51    0     6       --       --     0
    52    0    10       --       --     0
    53    0     3       --       --     0
    54    0     1       --       --     0
    55    0     6       --       --     0
    56    0     6       --       --     0
    57    0     6       --       --     0
    58    0     7       --       --     0
    59    0     1       --       --     0
    60    0     3       --       --     0
    61    0     4       --       --     0
    62    0     3       --       --     0
    63    0     6       --       --     0
    64    0     4       --       --     0
    65    0     3       --       --     0
