Iteration: 1 of 36000, ANNs: 12, Score, mean: 0.00, max: 8.00 - took 0.08s
Iteration: 2 of 36000, ANNs: 12, Score, mean: 1.50, max: 6.00 - took 0.09s
Iteration: 3 of 36000, ANNs: 12, Score, mean: 1.33, max: 6.00 - took 0.09s
Iteration: 4 of 36000, ANNs: 12, Score, mean: 1.33, max: 6.00 - took 0.09s
Iteration: 5 of 36000, ANNs: 12, Score, mean: 1.83, max: 8.00 - took 0.09s
Iteration: 6 of 36000, ANNs: 12, Score, mean: 0.17, max: 4.00 - took 0.09s
Iteration: 7 of 36000, ANNs: 12, Score, mean: -1.00, max: 2.00 - took 0.09s
Iteration: 8 of 36000, ANNs: 12, Score, mean: 1.33, max: 6.00 - took 0.09s
Iteration: 9 of 36000, ANNs: 12, Score, mean: 1.17, max: 6.00 - took 0.09s
Iteration: 11 of 36000, ANNs: 12, Score, mean: 1.33, max: 8.00 - took 0.09s
Iteration: 12 of 36000, ANNs: 12, Score, mean: 1.00, max: 8.00 - took 0.09s
Iteration: 13 of 36000, ANNs: 12, Score, mean: 0.67, max: 4.00 - took 0.09s
Iteration: 14 of 36000, ANNs: 12, Score, mean: 3.33, max: 8.00 - took 0.09s
Iteration: 15 of 36000, ANNs: 12, Score, mean: 1.33, max: 6.00 - took 0.09s
Iteration: 16 of 36000, ANNs: 12, Score, mean: 2.17, max: 6.00 - took 0.09s
Iteration: 17 of 36000, ANNs: 12, Score, mean: 1.00, max: 6.00 - took 0.09s
Iteration: 18 of 36000, ANNs: 12, Score, mean: 2.17, max: 8.00 - took 0.09s
Iteration: 19 of 36000, ANNs: 12, Score, mean: 1.00, max: 8.00 - took 0.09s
Iteration: 21 of 36000, ANNs: 12, Score, mean: 0.83, max: 6.00 - took 0.09s
Iteration: 22 of 36000, ANNs: 12, Score, mean: 1.50, max: 6.00 - took 0.09s
Iteration: 23 of 36000, ANNs: 12, Score, mean: 1.00, max: 8.00 - took 0.09s
Iteration: 24 of 36000, ANNs: 12, Score, mean: 0.83, max: 8.00 - took 0.09s
Iteration: 25 of 36000, ANNs: 12, Score, mean: 1.50, max: 6.00 - took 0.09s
Iteration: 26 of 36000, ANNs: 12, Score, mean: 0.00, max: 4.00 - took 0.09s
Iteration: 27 of 36000, ANNs: 12, Score, mean: 0.67, max: 6.00 - took 0.09s
Iteration: 28 of 36000, ANNs: 12, Score, mean: 0.67, max: 4.00 - took 0.09s
Iteration: 29 of 36000, ANNs: 12, Score, mean: 1.67, max: 8.00 - took 0.09s
Iteration: 31 of 36000, ANNs: 12, Score, mean: 1.83, max: 8.00 - took 0.09s
Iteration: 32 of 36000, ANNs: 12, Score, mean: 0.33, max: 8.00 - took 0.09s
Iteration: 33 of 36000, ANNs: 12, Score, mean: 1.83, max: 8.00 - took 0.09s
Iteration: 34 of 36000, ANNs: 12, Score, mean: 0.50, max: 8.00 - took 0.09s
Iteration: 35 of 36000, ANNs: 12, Score, mean: 3.00, max: 8.00 - took 0.08s
Iteration: 36 of 36000, ANNs: 12, Score, mean: 0.83, max: 6.00 - took 0.09s
Iteration: 37 of 36000, ANNs: 12, Score, mean: 0.17, max: 4.00 - took 0.09s
Iteration: 38 of 36000, ANNs: 12, Score, mean: 1.33, max: 6.00 - took 0.09s
Iteration: 39 of 36000, ANNs: 12, Score, mean: 2.17, max: 10.00 - took 0.08s
Iteration: 41 of 36000, ANNs: 12, Score, mean: 3.00, max: 10.00 - took 0.09s
Iteration: 42 of 36000, ANNs: 12, Score, mean: 1.83, max: 6.00 - took 0.09s
Iteration: 43 of 36000, ANNs: 12, Score, mean: 2.67, max: 8.00 - took 0.09s
Iteration: 44 of 36000, ANNs: 12, Score, mean: 1.67, max: 8.00 - took 0.09s
Iteration: 45 of 36000, ANNs: 12, Score, mean: 1.00, max: 6.00 - took 0.09s
Iteration: 46 of 36000, ANNs: 12, Score, mean: 2.17, max: 8.00 - took 0.09s
Iteration: 47 of 36000, ANNs: 12, Score, mean: 2.17, max: 10.00 - took 0.09s
Iteration: 48 of 36000, ANNs: 12, Score, mean: 1.83, max: 6.00 - took 0.09s
Iteration: 49 of 36000, ANNs: 12, Score, mean: 1.83, max: 8.00 - took 0.09s
Iteration: 51 of 36000, ANNs: 12, Score, mean: 1.67, max: 4.00 - took 0.09s
Iteration: 52 of 36000, ANNs: 12, Score, mean: 2.00, max: 8.00 - took 0.09s
Iteration: 53 of 36000, ANNs: 12, Score, mean: 0.67, max: 4.00 - took 0.09s
